id,title,author,format,price
1,"The Adventures of Duck and Goose","Sir Quackalot",paperback,10
2,"The Return of Duck and Goose","Sir Quackalot",paperback,19
3,"More Fun with Duck and Goose","Sir Quackalot",paperback,12
4,"Duck and Goose on Holiday","Sir Quackalot",paperback,11
5,"The Return of Duck and Goose","Sir Quackalot",hardback,19
6,"The Adventures of Duck and Goose","Sir Quackalot",hardback,18
7,"My Friend is a Duck","A. Parrot",paperback,14
8,"Annotated Notes on the ‘Duck and Goose’ chronicles","Prof Macaw",ebook,8
9,"‘Duck and Goose’ Cheat Sheet for Students","Polly Parrot",ebook,5
10,"‘Duck and Goose’: an allegory for modern times?","Bor Ing",hardback,59
